AQI index,Dominent pollutant,PM10,PM2.5,,,,,,,,
40,pm25,37,40,,,,,,,,
40,pm25,31,40,,,,,,,,
1,pm25,1,1,,,,,,,,
76,pm25,68,76,,,,,,,,
50,pm10,50,45,,,,,,,,
37,pm25,34,37,,,,,,,,
91,pm25,65,91,,,,,,,,
36,pm25,23,36,,,,,,,,
60,pm25,45,60,,,,,,,,
1,pm25,1,1,,,,,,,,
41,pm25,37,41,,,,,,,,
32,pm25,27,32,,,,,,,,
74,pm25,63,74,,,,,,,,
18,pm25,12,18,,,,,,,,
113,pm10,113,87,,,,,,,,
52,pm25,37,52,,,,,,,,
50,pm25,39,50,,,,,,,,
50,pm10,50,45,,,,,,,,
41,pm25,39,41,,,,,,,,
56,pm25,40,56,,,,,,,,
91,pm25,65,91,,,,,,,,
36,pm25,23,36,,,,,,,,
60,pm25,45,60,,,,,,,,
1,pm25,1,1,,,,,,,,
41,pm25,37,41,,,,,,,,
32,pm25,27,32,,,,,,,,
74,pm25,63,74,,,,,,,,
18,pm25,12,18,,,,,,,,
73,pm25,73,73,,,,,,,,
33,pm25,30,33,,,,,,,,
70,pm25,63,70,,,,,,,,
1,pm10,1,21,,,,,,,,
50,pm10,50,45,,,,,,,,
59,pm10,59,50,,,,,,,,
30,pm25,26,30,,,,,,,,
91,pm25,65,91,,,,,,,,
36,pm25,23,36,,,,,,,,
60,pm25,45,60,,,,,,,,
1,pm25,1,1,,,,,,,,
41,pm25,37,41,,,,,,,,
32,pm25,27,32,,,,,,,,
74,pm25,63,74,,,,,,,,
18,pm25,12,18,,,,,,,,
103,pm10,103,75,,,,,,,,
